video_path,action,species
Attacking\Black Mamba\PWACGIQR4.mp4,Attacking,Black Mamba
Attacking\Black Mamba\QCCASIQR5.mp4,Attacking,Black Mamba
Attacking\Black Mamba\QCDGJIQR6.mp4,Attacking,Black Mamba
Attacking\Black Mamba\QJNPDIQR4.mp4,Attacking,Black Mamba
Attacking\Black Mamba\QUARGIQR4.mp4,Attacking,Black Mamba
Attacking\Black Mamba\RGPDLIQR6.mp4,Attacking,Black Mamba
Attacking\Black Mamba\RKWBHIQR7.mp4,Attacking,Black Mamba
Attacking\Black Mamba\RRFABIQR6.mp4,Attacking,Black Mamba
Attacking\Black Mamba\RSYOXIQR1.mp4,Attacking,Black Mamba
Attacking\Black Mamba\SBNOGIQR10.mp4,Attacking,Black Mamba
Attacking\Black Mamba\SFBESIQR4.mp4,Attacking,Black Mamba
Attacking\Black Mamba\SJIALIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\SPZYJIQR1.mp4,Attacking,Black Mamba
Attacking\Black Mamba\SUDYGIQR10.mp4,Attacking,Black Mamba
Attacking\Black Mamba\SWMJVIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\THSQCIQR8.mp4,Attacking,Black Mamba
Attacking\Black Mamba\TJDVGIQR7.mp4,Attacking,Black Mamba
Attacking\Black Mamba\TQNOFIQR1.mp4,Attacking,Black Mamba
Attacking\Black Mamba\TSKSRIQR8.mp4,Attacking,Black Mamba
Attacking\Black Mamba\UACWCIQR5.mp4,Attacking,Black Mamba
Attacking\Black Mamba\UHIWJIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\UKRSXIQR2.mp4,Attacking,Black Mamba
Attacking\Black Mamba\UOLGDIQR8.mp4,Attacking,Black Mamba
Attacking\Black Mamba\VCHQYIQR1.mp4,Attacking,Black Mamba
Attacking\Black Mamba\VDVKCIQR9.mp4,Attacking,Black Mamba
Attacking\Black Mamba\VJAOXIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\VNKPCIQR6.mp4,Attacking,Black Mamba
Attacking\Black Mamba\VPIUPIQR1.mp4,Attacking,Black Mamba
Attacking\Black Mamba\VWLCTIQR4.mp4,Attacking,Black Mamba
Attacking\Black Mamba\VXKXCIQR5.mp4,Attacking,Black Mamba
Attacking\Black Mamba\WCFXAIQR4.mp4,Attacking,Black Mamba
Attacking\Black Mamba\WFQEJIQR6.mp4,Attacking,Black Mamba
Attacking\Black Mamba\WJXPOIQR6.mp4,Attacking,Black Mamba
Attacking\Black Mamba\WKPAIIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\WMITTIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\WOXMOIQR6.mp4,Attacking,Black Mamba
Attacking\Black Mamba\XCWOPIQR6.mp4,Attacking,Black Mamba
Attacking\Black Mamba\XHPFUIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\XJVUTIQR4.mp4,Attacking,Black Mamba
Attacking\Black Mamba\XPREAIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\XWVZNIQR7.mp4,Attacking,Black Mamba
Attacking\Black Mamba\XWWBEIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\YGVLJIQR4.mp4,Attacking,Black Mamba
Attacking\Black Mamba\YGXKDIQR7.mp4,Attacking,Black Mamba
Attacking\Black Mamba\ZBPGEIQR5.mp4,Attacking,Black Mamba
Attacking\Black Mamba\ZMWCLIQR3.mp4,Attacking,Black Mamba
Attacking\Bottlenose Dolphin\FJGWPNPL1.mp4,Attacking,Bottlenose Dolphin
Attacking\Bottlenose Dolphin\QMLAQNPL1.mp4,Attacking,Bottlenose Dolphin
Attacking\Buffalo\DIUCTXDO1.mp4,Attacking,Buffalo
Attacking\Buffalo\NYNNPXDO0.mp4,Attacking,Buffalo
Attacking\Buffalo\WEMWSXDO1.mp4,Attacking,Buffalo
Attacking\Bullfrog\XRIAMLHH1.mp4,Attacking,Bullfrog
Attacking\Bullfrog\ZWWVTLHH1.mp4,Attacking,Bullfrog
Attacking\Carcharhinus Limbatus\RTWGOBSK0.mp4,Attacking,Carcharhinus Limbatus
Attacking\Caterpillar\BXFEMEQQ5.mp4,Attacking,Caterpillar
Attacking\Caterpillar\DUTGGEQQ4.mp4,Attacking,Caterpillar
Attacking\Caterpillar\USCSMEQQ6.mp4,Attacking,Caterpillar
Attacking\Cheetah\BVOZWUDX1.mp4,Attacking,Cheetah
Attacking\Cheetah\GZTAMICI2.mp4,Attacking,Cheetah
Attacking\Cheetah\KOYEMUDX1.mp4,Attacking,Cheetah
Attacking\Cheetah\PJCNAICI2.mp4,Attacking,Cheetah
Attacking\Cheetah\QISNEUDX1.mp4,Attacking,Cheetah
Attacking\Cheetah\TQDCMUDX2.mp4,Attacking,Cheetah
Attacking\Cheetah\UWROFICI1.mp4,Attacking,Cheetah
Attacking\Cheetah\XWEEOUDX1.mp4,Attacking,Cheetah
Attacking\Clouded Monitor Lizard\OEGLNFYY0.mp4,Attacking,Clouded Monitor Lizard
Attacking\Cobra\YEOCVWBC1.mp4,Attacking,Cobra
Attacking\Common Crane\ATPHEBXG2.mp4,Attacking,Common Crane
Attacking\Common Crane\BMNOFBXG3.mp4,Attacking,Common Crane
Attacking\Common Crane\LDPUABXG4.mp4,Attacking,Common Crane
Attacking\Common Crane\XQLACBXG2.mp4,Attacking,Common Crane
Attacking\Crab\ABBTRZQJ0.mp4,Attacking,Crab
Attacking\Crab\LAEDKZQJ0.mp4,Attacking,Crab
Attacking\Cricket\FATQITUB1.mp4,Attacking,Cricket
Attacking\Cricket\HDVDRTUB0.mp4,Attacking,Cricket
Attacking\Crocodile\BXJEDICI0.mp4,Attacking,Crocodile
Attacking\Crocodile\GZTAMICI3.mp4,Attacking,Crocodile
Attacking\Crocodile\PJCNAICI4.mp4,Attacking,Crocodile
Attacking\Crocodile\UWROFICI3.mp4,Attacking,Crocodile
Attacking\Crocodylus Acutus Crocodile\OAIWVEDF0.mp4,Attacking,Crocodylus Acutus Crocodile
Attacking\Cryptic Mantis\BUGLHXTD0.mp4,Attacking,Cryptic Mantis
Attacking\Cryptic Mantis\PIKSMXTD0.mp4,Attacking,Cryptic Mantis
Attacking\Cryptic Mantis\YKYKOXTD0.mp4,Attacking,Cryptic Mantis
Attacking\Cryptic Mantis\ZFFPWXTD0.mp4,Attacking,Cryptic Mantis
Attacking\Damselfly\IBRJQRJS1.mp4,Attacking,Damselfly
Attacking\Damselfly\JXKLIRJS1.mp4,Attacking,Damselfly
Attacking\Darner Damselfly\KVLECRJS0.mp4,Attacking,Darner Damselfly
Attacking\Darner Damselfly\NVLULRJS0.mp4,Attacking,Darner Damselfly
Attacking\Darner Damselfly\PSNOBRJS0.mp4,Attacking,Darner Damselfly
Attacking\Darner Damselfly\UNKEIRJS1.mp4,Attacking,Darner Damselfly
Attacking\Darner Damselfly Larva\KLLUIRJS0.mp4,Attacking,Darner Damselfly Larva
Attacking\Dice Snake\AMXNIHVR1.mp4,Attacking,Dice Snake
Attacking\Dice Snake\EILXLPAB3.mp4,Attacking,Dice Snake
Attacking\Dice Snake\FFLNBPAB1.mp4,Attacking,Dice Snake
Attacking\Dice Snake\MSQRIPAB1.mp4,Attacking,Dice Snake
Attacking\Dice Snake\SYWDLPAB1.mp4,Attacking,Dice Snake
Attacking\Dog\CUFGUGCS6.mp4,Attacking,Dog
Attacking\Dog\GNCBFXGD2.mp4,Attacking,Dog
Attacking\Dog\TVAUKXGD3.mp4,Attacking,Dog
Attacking\Eagle\JPIPFFNJ0.mp4,Attacking,Eagle
Attacking\Eel\NIEBXPKL1.mp4,Attacking,Eel
Attacking\Eel\OZTKIPKL1.mp4,Attacking,Eel
Attacking\Eel\XQAPXPKL1.mp4,Attacking,Eel
Attacking\Elephant\KMSEJXDO1.mp4,Attacking,Elephant
Attacking\Forest Cobra\CWROREUL1.mp4,Attacking,Forest Cobra
Attacking\Forest Cobra\EXJAYEUL2.mp4,Attacking,Forest Cobra
Attacking\Frog\BSYZRGQD1.mp4,Attacking,Frog
Attacking\Frog\IZGNNGQD1.mp4,Attacking,Frog
Attacking\Frog\LXYYULHH0.mp4,Attacking,Frog
Attacking\Frog\ZYGHJGQD1.mp4,Attacking,Frog
Attacking\Fruit Fly\DJBBOYSZ1.mp4,Attacking,Fruit Fly
Attacking\Gaboon Viper\FDKWXHVR1.mp4,Attacking,Gaboon Viper
Attacking\Gaboon Viper\FZALVHVR2.mp4,Attacking,Gaboon Viper
Attacking\Gaboon Viper\KRVTDHVR2.mp4,Attacking,Gaboon Viper
Attacking\Gaboon Viper\TFKNJHVR1.mp4,Attacking,Gaboon Viper
Attacking\Gaboon Viper\URPCQHVR2.mp4,Attacking,Gaboon Viper
Attacking\Galeocerdo Cuvier\QJTZIBSK0.mp4,Attacking,Galeocerdo Cuvier
Attacking\Giant Hornet\KKGBABBY1.mp4,Attacking,Giant Hornet
Attacking\Giant Hornet\RPCIKBBY1.mp4,Attacking,Giant Hornet
Attacking\Giant Hornet\VVXCGBBY2.mp4,Attacking,Giant Hornet
Attacking\Giant Trevally\JTWVMXFE0.mp4,Attacking,Giant Trevally
Attacking\Giraffe\AUIKHGCS1.mp4,Attacking,Giraffe
Attacking\Giraffe\NSLAXXDO1.mp4,Attacking,Giraffe
Attacking\Giraffe\POWOQGCS1.mp4,Attacking,Giraffe
Attacking\Giraffe\RSBQFGCS1.mp4,Attacking,Giraffe
Attacking\Giraffe\RSMRRGCS1.mp4,Attacking,Giraffe
Attacking\Giraffe\ZCBOLGCS2.mp4,Attacking,Giraffe
Attacking\Glass Frog\JPJFAMGJ1.mp4,Attacking,Glass Frog
Attacking\Glass Frog\NXKBJMGJ0.mp4,Attacking,Glass Frog
Attacking\Glass Frog\XWVJNMGJ1.mp4,Attacking,Glass Frog
Attacking\Goat\DYEKGKBS1.mp4,Attacking,Goat
Attacking\Goat\SKJVUJKU0.mp4,Attacking,Goat
Attacking\Great Egret\HQMIPKDQ0.mp4,Attacking,Great Egret
Attacking\Great Egret\IATBLKDQ0.mp4,Attacking,Great Egret
Attacking\Great Egret\LIJHLKDQ0.mp4,Attacking,Great Egret
Attacking\Great Egret\SJJGJKDQ0.mp4,Attacking,Great Egret
Attacking\Grey Heron\AAGOCDAL1.mp4,Attacking,Grey Heron
Attacking\Grey Heron\AJIKSDAL2.mp4,Attacking,Grey Heron
Attacking\Grey Heron\AOVXGDAL1.mp4,Attacking,Grey Heron
Attacking\Grey Heron\BPEGEDAL2.mp4,Attacking,Grey Heron
Attacking\Grey Heron\BTFIADAL1.mp4,Attacking,Grey Heron
Attacking\Grey Heron\CBVWFDAL2.mp4,Attacking,Grey Heron
Attacking\Grey Heron\CPQVQDAL2.mp4,Attacking,Grey Heron
Attacking\Grey Heron\DNAOTDAL1.mp4,Attacking,Grey Heron
Attacking\Grey Heron\DURBDGIW0.mp4,Attacking,Grey Heron
Attacking\Grey Heron\FDGXDDAL1.mp4,Attacking,Grey Heron
Attacking\Grey Heron\FEOYZDAL1.mp4,Attacking,Grey Heron
Attacking\Grey Heron\GUCTCDAL2.mp4,Attacking,Grey Heron
Attacking\Grey Heron\HILDLDAL1.mp4,Attacking,Grey Heron
Attacking\Grey Heron\KIJQGDAL2.mp4,Attacking,Grey Heron
Attacking\Grey Heron\MEEGNDAL0.mp4,Attacking,Grey Heron
Attacking\Grey Heron\MEEMDDAL2.mp4,Attacking,Grey Heron
Attacking\Grey Heron\NPVKNDAL2.mp4,Attacking,Grey Heron
Attacking\Grey Heron\QFXEMDAL0.mp4,Attacking,Grey Heron
Attacking\Grey Heron\RXHJWDAL0.mp4,Attacking,Grey Heron
Attacking\Grey Heron\ZBAFRDAL1.mp4,Attacking,Grey Heron
Attacking\Grey Heron\ZJHJIDAL0.mp4,Attacking,Grey Heron
Attacking\Hairy Caterpillar\TMFKWLHH1.mp4,Attacking,Hairy Caterpillar
Attacking\Hawk\CYXOIDSN0.mp4,Attacking,Hawk
Attacking\Hawk\HJIQTDSN0.mp4,Attacking,Hawk
Attacking\Hawk\OBUQUDSN0.mp4,Attacking,Hawk
Attacking\Horse\NKXGFXGD0.mp4,Attacking,Horse
Attacking\Horse\USHBBXGD0.mp4,Attacking,Horse
Attacking\Hoverfly Young\QQPMNOIP0.mp4,Attacking,Hoverfly Young
Attacking\Hyena\CFFFYNPO1.mp4,Attacking,Hyena
Attacking\Hyena\EKZNANPO2.mp4,Attacking,Hyena
Attacking\Hyena\FSRCINPO4.mp4,Attacking,Hyena
Attacking\Hyena\HONGANPO4.mp4,Attacking,Hyena
Attacking\Hyena\JHOXWNPO1.mp4,Attacking,Hyena
Attacking\Hyena\KHROYXDO2.mp4,Attacking,Hyena
Attacking\Hyena\LSLBINPO2.mp4,Attacking,Hyena
Attacking\Hyena\OWYHSXDO2.mp4,Attacking,Hyena
Attacking\Hyena\SMPJQNPO1.mp4,Attacking,Hyena
Attacking\Insect\OHYELACP2.mp4,Attacking,Insect
Attacking\Insect\VLUPOACP1.mp4,Attacking,Insect
Attacking\Insect\YNHUOACP2.mp4,Attacking,Insect
Attacking\Javan Spitting Cobra\VVBUQEUL0.mp4,Attacking,Javan Spitting Cobra
Attacking\Jeweled Cockroach Wasp\KIYTKFAU0.mp4,Attacking,Jeweled Cockroach Wasp
Attacking\Jeweled Cockroach Wasp\MAAHVFAU0.mp4,Attacking,Jeweled Cockroach Wasp
Attacking\Jeweled Cockroach Wasp\TSYWDFAU0.mp4,Attacking,Jeweled Cockroach Wasp
Attacking\Leaf-Tailed Gecko\BXFEMEQQ3.mp4,Attacking,Leaf-Tailed Gecko
Attacking\Leaf-Tailed Gecko\DUTGGEQQ2.mp4,Attacking,Leaf-Tailed Gecko
Attacking\Leaf-Tailed Gecko\ECQKDEQQ0.mp4,Attacking,Leaf-Tailed Gecko
Attacking\Leaf-Tailed Gecko\USCSMEQQ4.mp4,Attacking,Leaf-Tailed Gecko
Attacking\Leopard\AWJEUGCS2.mp4,Attacking,Leopard
Attacking\Leopard\CUFGUGCS7.mp4,Attacking,Leopard
Attacking\Leopard\MAFUQXDO0.mp4,Attacking,Leopard
Attacking\Leopard\ORBGIGCS1.mp4,Attacking,Leopard
Attacking\Leopard\QOZTQGCS1.mp4,Attacking,Leopard
Attacking\Leopard\YOOZIGCS0.mp4,Attacking,Leopard
Attacking\Leopard Seal\BDHCOUJL2.mp4,Attacking,Leopard Seal
Attacking\Leopard Seal\CYPVQUJL0.mp4,Attacking,Leopard Seal
Attacking\Leopard Seal\WGDLDUJL1.mp4,Attacking,Leopard Seal
Attacking\Lesser Sunda Pit Viper\UTDANHVR0.mp4,Attacking,Lesser Sunda Pit Viper
Attacking\Lesser Sunda Pit Viper\ZSEXGHVR1.mp4,Attacking,Lesser Sunda Pit Viper
Attacking\Lion\ANMDZGCS2.mp4,Attacking,Lion
Attacking\Lion\BAQXAGCS1.mp4,Attacking,Lion
Attacking\Lion\BBVUNXDO1.mp4,Attacking,Lion
Attacking\Lion\BGSRHXDO1.mp4,Attacking,Lion
Attacking\Lion\BIVEQXDO2.mp4,Attacking,Lion
Attacking\Lion\BJVSVGCS2.mp4,Attacking,Lion
Attacking\Lion\BKBZSGCS2.mp4,Attacking,Lion
Attacking\Lion\CAOFKGCS1.mp4,Attacking,Lion
Attacking\Lion\CFFFYNPO3.mp4,Attacking,Lion
Attacking\Lion\DZUIAGCS2.mp4,Attacking,Lion
Attacking\Lion\EMZZAXDO3.mp4,Attacking,Lion
Attacking\Lion\EOMOXGCS2.mp4,Attacking,Lion
Attacking\Lion\EQRAZXDO2.mp4,Attacking,Lion
Attacking\Lion\EQSEEGCS2.mp4,Attacking,Lion
Attacking\Lion\ESYVKXDO1.mp4,Attacking,Lion
Attacking\Lion\EZLLAXDO2.mp4,Attacking,Lion
Attacking\Lion\FSRCINPO1.mp4,Attacking,Lion
Attacking\Lion\GFAQDXDO1.mp4,Attacking,Lion
Attacking\Lion\GLQUBXDO2.mp4,Attacking,Lion
Attacking\Lion\HONGANPO1.mp4,Attacking,Lion
Attacking\Lion\HYLVWGCS3.mp4,Attacking,Lion
Attacking\Lion\ICJGTXDO2.mp4,Attacking,Lion
Attacking\Lion\ICTJHXDO1.mp4,Attacking,Lion
Attacking\Lion\IQKUNGCS1.mp4,Attacking,Lion
Attacking\Lion\JHOXWNPO3.mp4,Attacking,Lion
Attacking\Lion\JOCFMGCS2.mp4,Attacking,Lion
Attacking\Lion\KBZUKXDO1.mp4,Attacking,Lion
Attacking\Lion\KEDNTGCS1.mp4,Attacking,Lion
Attacking\Lion\KIUTPXDO3.mp4,Attacking,Lion
Attacking\Lion\KJEDWXDO2.mp4,Attacking,Lion
Attacking\Lion\LICDJGCS1.mp4,Attacking,Lion
Attacking\Lion\LLJMUGCS1.mp4,Attacking,Lion
Attacking\Lion\LNNHXXDO2.mp4,Attacking,Lion
Attacking\Lion\LVHKEGCS2.mp4,Attacking,Lion
Attacking\Lion\MMXAFGCS2.mp4,Attacking,Lion
Attacking\Lion\MNICHGCS1.mp4,Attacking,Lion
Attacking\Lion\MODDZXDO2.mp4,Attacking,Lion
Attacking\Lion\MUWLPGCS1.mp4,Attacking,Lion
Attacking\Lion\MVYCKGCS1.mp4,Attacking,Lion
Attacking\Lion\NFVMZXDO1.mp4,Attacking,Lion
Attacking\Lion\NOIUMGCS2.mp4,Attacking,Lion
Attacking\Lion\ODQALGCS2.mp4,Attacking,Lion
Attacking\Lion\PHXEOGCS2.mp4,Attacking,Lion
Attacking\Lion\PLOIIXDO1.mp4,Attacking,Lion
Attacking\Lion\PRWQXGCS2.mp4,Attacking,Lion
Attacking\Lion\QDECKXDO2.mp4,Attacking,Lion
Attacking\Lion\QEARVGCS1.mp4,Attacking,Lion
Attacking\Lion\QFHSLGCS1.mp4,Attacking,Lion
Attacking\Lion\QKDUBGCS1.mp4,Attacking,Lion
Attacking\Lion\QOJYQXDO2.mp4,Attacking,Lion
Attacking\Lion\QVOPOXDO1.mp4,Attacking,Lion
Attacking\Lion\RGWCFGCS3.mp4,Attacking,Lion
Attacking\Lion\ROOHIGCS2.mp4,Attacking,Lion
