Animal,Parent Class,Class,Sub-Class,Young,Generic name
Caspian Tern,Bird,Bird,Bird,,
Cat,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Caterpillar,Insect,Insect / Caterpillar / Worm,Caterpillar / Centipede / Millipede,Yes,Yes
Catfish,Fish,Fish,Fish,,
Cattle,Mammal,Mammal,Cow / Buffalo / Bison,,
Cayman,Reptile,Reptile,Crocodile / Alligator,,
Chaffinch Bird,Bird,Bird,Bird,,
Chameleon,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Chamois Goat Antelope,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Charadrius dubius Bird,Bird,Bird,Bird,,
Cheetah,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Chelonia mydas Turtle,Reptile,Reptile / Turtle,Tortoise / Turtle,,
Chicken,Bird,Bird,Chicken / Curassow / Turkey,,
Chimpanzee,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Chipmunk,Mammal,Mammal,Rodent / Rat / Mouse / Hamster / Guinea pig / Pika,,
Chrysoperla rufilabris Green Lacewing Larva,Insect,Insect / Larva / Pupa,Larva / Pupa,Yes,
Cichlid,Fish,Fish,Fish,,
Circus aeruginosus Bird,Bird,Bird,Bird,,
Citrine Wagtail,Bird,Bird,Bird,,
Civet Cat,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Clitarchus hookeri Common Stick Insect,Insect,Insect,Stick insect,,
Clouded Monitor Lizard,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Clownfish,Fish,Fish,Fish,,
Coati,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Cobra,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Cockatiel,Bird,Bird,Bird,,
Cockroach,Insect,Insect,Cockroach,,
Coelacanth,Fish,Fish,Fish,,
Colugo,Mammal,Mammal,Flying fox / Colugo,,
Common Basilisk Lizard,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Common Bleak,Fish,Fish,Fish,,
Common Buzzard,Bird,Bird,Bird,,
Common Chaffinch Bird,Bird,Bird,Bird,,
Common Chiffchaff Bird,Bird,Bird,Bird,,
Common Crane,Bird,Bird,Bird,,
Common Crowned Pigeon,Bird,Bird,Bird,,
Common Cuckoo Bird,Bird,Bird,Bird,,
Common Eastern Bumblebee,Insect,Insect,Bee / Wasp,,
Common Eider,Bird,Bird,Water bird / Duck / Swan / Goose,,
Common Goldeneye,Bird,Bird,Water bird / Duck / Swan / Goose,,
Common Greenshank,Bird,Bird,Bird,,
Common Quail Bird,Bird,Bird,Bird,,
Common Redshank,Bird,Bird,Bird,,
Common Rosefinch Bird,Bird,Bird,Bird,,
Common Snipe,Bird,Bird,Bird,,
Common Whitethroat Bird,Bird,Bird,Bird,,
Common Wood Pigeon,Bird,Bird,Bird,,
Cone Snail,Insect,Insect / Snail,Snail / Slug / Nudibranch,,
Convergent Ladybug,Insect,Insect,Ladybug,,
Copper Shark,Fish,Fish / Large swimmer,Shark,,
Coral Mimic Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Coral Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Corncrake,Bird,Bird,Bird,,
Coronate medusa Jellyfish,Sea animal,Sea animal / Jellyfish,Jellyfish / Ctenophore,,
Coronella austriaca Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Corroboree Frog,Amphibian,Amphibian,Frog / Toad,,
Cotesia glomerata Wasp,Insect,Insect,Bee / Wasp,,
Cougar,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Cow,Mammal,Mammal,Cow / Buffalo / Bison,,
Coyote,Mammal,Mammal,Dog / Wolf / Fox / Coyote / Jackal,,
Crab,Sea animal,Sea animal / Crab,Crab,,
Crane,Bird,Bird,Bird,,
Crane Fly,Insect,Insect,Mosquito / Crane fly,,
Crested Grebe Bird,Bird,Bird,Bird,,
Cricket,Insect,Insect,Cricket / Grasshopper / Praying mantis / Leafhopper,,
Crocodile,Reptile,Reptile,Crocodile / Alligator,,
Crocodylus acutus Crocodile,Reptile,Reptile,Crocodile / Alligator,,
Crocodylus palustris Crocodile,Reptile,Reptile,Crocodile / Alligator,,
Crotalus willardi Ridge Nosed Rattlesnake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Crow,Bird,Bird,Bird,,
Crowned Eagle,Bird,Bird,Bird,,
Cryptic Kelp Crab,Sea animal,Sea animal / Crab,Crab,,
Cryptic Mantis,Insect,Insect,Cricket / Grasshopper / Praying mantis / Leafhopper,,
Culex pipiens Mosquito,Insect,Insect,Mosquito / Crane fly,,
Cuttlefish,Sea animal,Sea animal / Octopus,Octopus / Squid / Cuttlefish,,
Cyclosa Conica,Insect,Insect / Spider,Spider / Tarantula,,
Daddy Longlegs Spider,Insect,Insect / Spider,Spider / Tarantula,,
Dampwood Termite,Insect,Insect,Ant / Termite / Aphid,,
Damsel Fish,Fish,Fish,Fish,,
Damselfly,Insect,Insect,Dragonfly / Mayfly / Damselfly,,
Damselfly Nymph,Insect,Insect / Larva / Pupa,Pupa,Yes,
Danaus plexippus Monarch Butterfly,Insect,Insect,Butterfly / Moth,,
Danaus plexippus Monarch Butterfly Caterpillar,Insect,Insect / Caterpillar / Worm,Caterpillar / Centipede / Millipede,Yes,
Danube Bleak Fish,Fish,Fish,Fish,,
Danube Salmon,Fish,Fish,Fish,,
Darner Damselfly,Insect,Insect,Dragonfly / Mayfly / Damselfly,,
Darner Damselfly Larva,Insect,Insect / Larva / Pupa,Larva / Pupa,Yes,
Darwin's Frog,Amphibian,Amphibian,Frog / Toad,,
Decorator Crab,Sea animal,Sea animal / Crab,Crab,,
Deer,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Dendroaspis polylepis Black Mamba,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Desert Fox,Mammal,Mammal,Dog / Wolf / Fox / Coyote / Jackal,,
Desert Rain Frog,Amphibian,Amphibian,Frog / Toad,,
Dholes,Mammal,Mammal,Dog / Wolf / Fox / Coyote / Jackal,,
Diana Monkey,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Dice Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Dingo Dog,Mammal,Mammal,Dog / Wolf / Fox / Coyote / Jackal,,
Dispholidus typus Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Diving Bell Water Spider,Insect,Insect / Spider,Spider / Tarantula,,
Dog,Mammal,Mammal,Dog / Wolf / Fox / Coyote / Jackal,,
Dog Faced Water Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Dolphin,Fish,Fish / Large swimmer,Dolphin / Orca,,
Donkey,Mammal,Mammal,Horse,,
Dorado,Fish,Fish,Fish,,
Draco Lizard,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Dragonfly,Insect,Insect,Dragonfly / Mayfly / Damselfly,,
Drosophila melanogaster Fruit Fly,Insect,Insect,Fly,,
Duck,Bird,Bird,Water bird / Duck / Swan / Goose,,
Dumbo Octopus,Sea animal,Sea animal / Octopus,Octopus / Squid / Cuttlefish,,
Dumeril's Boa,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Eagle,Bird,Bird,Bird,,
Earthworm,Insect,Insect / Caterpillar / Worm,Worm,,
Eastern montpellier Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Echina,Mammal,Mammal,Echidna / Hedgehog,,
Eel,Fish,Fish,Eel,,
Eelgrass Isopod,Insect,Insect,Isopod,,
Eelgrass Sea Hare,Insect,Insect / Snail,Snail / Slug / Nudibranch,,
Egret,Bird,Bird,Bird,,
Elegant Bronzeback Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Elephant,Mammal,Mammal,Elephant,,
Elk,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Emerita analoga,Sea animal,Sea animal / Crab,Crab,,
Ensatina,Amphibian,Amphibian,Salamander / Newt,,
Estuarine Crocodile,Reptile,Reptile,Crocodile / Alligator,,
Eurasian Skylark Bird,Bird,Bird,Bird,,
Eurasian Wren Bird,Bird,Bird,Bird,,
Eurasian Wryneck Bird,Bird,Bird,Bird,,
European Robin Bird,Bird,Bird,Bird,,
European Serin Bird,Bird,Bird,Bird,,
European Turtle Dove,Bird,Bird,Bird,,
Eyelash Pit Viper,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Falcon,Bird,Bird,Bird,,
Fea's Muntjac,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Feather Star,Sea animal,Sea animal / Sea star,Sea star,,
Feathery Tailed Flatted Bug,Insect,Insect,Flatted bug,,
Fer-de-lance snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Fiddler Crab,Sea animal,Sea animal / Crab,Crab,,
Firebrat Insect,Insect,Insect,Silverfish / Firebrat,,
Firecrest Bird,Bird,Bird,Bird,,
Firefly,Insect,Insect,Firefly,,
Fish,Fish,Fish,Fish,,Yes
Fishing Cat,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Flame Skimmer Dragonfly,Insect,Insect,Dragonfly / Mayfly / Damselfly,,
Flamingo,Bird,Bird,Bird,,
Flamingo Young,Bird,Bird,Bird,Yes,
Flowerhorn Fish,Fish,Fish,Fish,,
Fly,Insect,Insect,Fly,,
Flying Ant,Insect,Insect,Ant / Termite / Aphid,,
Flying Fish,Fish,Fish,Fish,,
Flying Lizard,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Flying Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Foam Nest Frog,Amphibian,Amphibian,Frog / Toad,,
Forest Buffalo,Mammal,Mammal,Cow / Buffalo / Bison,,
Forest Cobra,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Forficula auricularia,Insect,Insect,Earwig,,
Formica accreta,Insect,Insect,Ant / Termite / Aphid,,
Fox,Mammal,Mammal,Dog / Wolf / Fox / Coyote / Jackal,,
Frigatebird,Bird,Bird,Bird,,
Frilled Neck Lizard,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Frog,Amphibian,Amphibian,Frog / Toad,,Yes
Frog Tadpole,Amphibian,Amphibian / Tadpole,Tadpole,,
Fruit Bat,Mammal,Mammal / Bat,Bat,,
Fruit Fly,Insect,Insect,Fly,,
Gaboon Viper,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Galapagos Tortoise,Reptile,Reptile / Turtle,Tortoise / Turtle,,
Galeocerdo cuvier,Fish,Fish / Large swimmer,Shark,,
Gallinago gallinago Bird,Bird,Bird,Bird,,
Garganey,Bird,Bird,Water bird / Duck / Swan / Goose,,
Gaur,Mammal,Mammal,Cow / Buffalo / Bison,,
Gavialis gangeticus Crocodile,Reptile,Reptile,Crocodile / Alligator,,
Gazelle,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Gecarcinus lateralis Crab,Sea animal,Sea animal / Crab,Crab,,
Gecko,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Genet,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Gerbil,Mammal,Mammal,Rodent / Rat / Mouse / Hamster / Guinea pig / Pika,,
Gharial,Reptile,Reptile,Crocodile / Alligator,,
Giant Forest Hog,Mammal,Mammal,Pig / Boar / Hog,,
Giant Galapagos Tortoise,Reptile,Reptile / Turtle,Tortoise / Turtle,,
Giant Gerbil,Mammal,Mammal,Rodent / Rat / Mouse / Hamster / Guinea pig / Pika,,
Giant Ground Gecko,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Giant Ground Pangolin,Mammal,Mammal,Pangolin,,
Giant Hornet,Insect,Insect,Bee / Wasp,,
Giant Salamander,Amphibian,Amphibian,Salamander / Newt,,
Giant Tortoise,Reptile,Reptile / Turtle,Tortoise / Turtle,,
Giant Trevally,Fish,Fish,Fish,,
Gibbon,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Gila Monster,Amphibian,Amphibian,Salamander / Newt,,
Giraffe,Mammal,Mammal,Giraffe,,
Glass Frog,Amphibian,Amphibian,Frog / Toad,,
Glossina morsitans morsitans,Insect,Insect,Fly,,
Glossina morsitans morsitans Larva,Insect,Insect / Larva / Pupa,Larva / Pupa,Yes,
Goat,Mammal,Mammal,Goat / Sheep / Ibex,,
Goby Fish,Fish,Fish,Fish,,
Goldcrest Bird,Bird,Bird,Bird,,
Golden Eagle,Bird,Bird,Bird,,
Golden Orb Spider,Insect,Insect / Spider,Spider / Tarantula,,
Golden Oriole,Bird,Bird,Bird,,
Golden Poison Frog,Amphibian,Amphibian,Frog / Toad,,
Goldfinch,Bird,Bird,Bird,,
Goose,Bird,Bird,Water bird / Duck / Swan / Goose,,
Gorilla,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Graphocephala atropunctata Sharpshooter,Insect,Insect,Cricket / Grasshopper / Praying mantis / Leafhopper,,
Grass Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Grass Spider,Insect,Insect / Spider,Spider / Tarantula,,
Grass Warbler Bird,Bird,Bird,Bird,,
Grasshopper,Insect,Insect,Cricket / Grasshopper / Praying mantis / Leafhopper,,
Grasshopper Warbler,Bird,Bird,Bird,,
Gray Angelfish,Fish,Fish,Fish,,
Gray Whale,Fish,Fish / Large swimmer,Whale,,
Grayling Fish,Fish,Fish,Fish,,
Great Argus,Bird,Bird,Chicken / Curassow / Turkey,,
Great Curassow,Bird,Bird,Chicken / Curassow / Turkey,,
Great Diving Beetle,Insect,Insect,Beetle,,
Great Egret,Bird,Bird,Bird,,
Great Grey Shrike,Bird,Bird,Bird,,
Great Grey Shrike Young,Bird,Bird,Bird,Yes,
Great Ramshorn Snail,Insect,Insect / Snail,Snail / Slug / Nudibranch,,
Great Reed Warbler Bird,Bird,Bird,Bird,,
Great Snipe,Bird,Bird,Bird,,
Great White Shark,Fish,Fish / Large swimmer,Shark,,
Greater Flamingo,Bird,Bird,Bird,,
Greater Mouse Deer,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Greater Racket Tail Drongo,Bird,Bird,Bird,,
Grebe Bird,Bird,Bird,Water bird / Duck / Swan / Goose,,
Green Bottle Fly,Insect,Insect,Fly,,
Green Crested Lizard,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Green Iguana,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Green Mamba,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Green Pea Aphid,Insect,Insect,Ant / Termite / Aphid,,
Green Woodpecker,Bird,Bird,Bird,,
Greta oto Glasswing Butterfly,Insect,Insect,Butterfly / Moth,,
Greta oto Glasswing Butterfly Caterpillar,Insect,Insect / Caterpillar / Worm,Caterpillar / Centipede / Millipede,Yes,
Grey Bird,Bird,Bird,Bird,,
Grey Heron,Bird,Bird,Bird,,
Grey Langur,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Grey Langur Young,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Greylag Goose,Bird,Bird,Water bird / Duck / Swan / Goose,,
Grizzly Bear,Mammal,Mammal,Bear,,
