S/N,video_id,type,labels,list_animal_action,list_animal,list_animal_parent_class
71,ABMEWKRF,train,"68,102","[('Dispholidus Typus Snake', 'Keeping still'), ('Dispholidus Typus Snake', 'Sensing')]","['Dispholidus Typus Snake', 'Dispholidus Typus Snake']",['Reptile']
72,ABMISWMK,train,78,"[('Horned Adder', 'Moving')]",['Horned Adder'],['Reptile']
73,ABNEANQN,train,"68,15","[('European Turtle Dove', 'Keeping still'), ('European Turtle Dove', 'Chirping')]","['European Turtle Dove', 'European Turtle Dove']",['Bird']
74,ABNMGXGD,train,40,"[('Horse', 'Eating')]",['Horse'],['Mammal']
75,ABNUJKRV,train,"2,40","[('Cuckoo Bird', 'Eating'), ('Cuckoo Bird', 'Attending')]","['Cuckoo Bird', 'Cuckoo Bird']",['Bird']
76,ABNXQJVY,train,102,"[('Goldfinch', 'Sensing')]",['Goldfinch'],['Bird']
77,ABPGSMVW,train,"58,104,102,2,10,118,68,78","[('Beetle', 'Moving'), ('Eurasian Wren Bird', 'Shaking Head'), ('Eurasian Wren Bird', 'Chirping'), ('Eurasian Wren Bird', 'Sensing'), ('Eurasian Wren Bird', 'Startled'), ('Eurasian Wren Bird', 'Attending'), ('Eurasian Wren Bird', 'Keeping still'), ('Eurasian Wren Bird', 'Calling'), ('Eurasian Wren Bird', 'Preening')]","['Beetle', 'Eurasian Wren Bird', 'Eurasian Wren Bird', 'Eurasian Wren Bird', 'Eurasian Wren Bird', 'Eurasian Wren Bird', 'Eurasian Wren Bird', 'Eurasian Wren Bird', 'Eurasian Wren Bird']","['Bird', 'Insect']"
78,ABPLMUPH,train,"102,28,67","[('White Throated Dipper Bird', 'Diving'), ('White Throated Dipper Bird', 'Jumping'), ('White Throated Dipper Bird', 'Sensing')]","['White Throated Dipper Bird', 'White Throated Dipper Bird', 'White Throated Dipper Bird']",['Bird']
79,ABPUQFGA,train,45,"[('Bee', 'Exploring')]",['Bee'],['Insect']
80,ABQCVPLS,train,"68,133,102,100","[('Ardea Alba Egret', 'Keeping still'), ('Ardea Alba Egret', 'Sensing'), ('Ardea Alba Egret', 'Running'), ('Grey Heron', 'Walking')]","['Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Grey Heron']",['Bird']
81,ABQPRVEI,train,"68,33","[('Charadrius Dubius Bird', 'Doing A Neck Raise'), ('Charadrius Dubius Bird', 'Keeping still')]","['Charadrius Dubius Bird', 'Charadrius Dubius Bird']",['Bird']
82,ABSIZKBS,train,"100,67","[('Frilled Neck Lizard', 'Running'), ('Frilled Neck Lizard', 'Jumping')]","['Frilled Neck Lizard', 'Frilled Neck Lizard']",['Reptile']
83,ABSJHPKK,train,"68,102,90","[('Black-Winged Stilt', 'Sensing'), ('Black-Winged Stilt', 'Preening'), ('Black-Winged Stilt', 'Keeping still')]","['Black-Winged Stilt', 'Black-Winged Stilt', 'Black-Winged Stilt']",['Bird']
84,ABTJZVEI,train,"2,40,133,104","[('Gallinago Gallinago Bird', 'Eating'), ('Gallinago Gallinago Bird', 'Walking'), ('Duck', 'Shaking Head'), ('Duck', 'Attending')]","['Gallinago Gallinago Bird', 'Gallinago Gallinago Bird', 'Duck', 'Duck']",['Bird']
85,ABUMVDAL,train,"104,123,102,2,5,32,13","[('Frog', 'Carrying In Mouth'), ('Mallard Duck', 'Sensing'), ('Grey Heron', 'Being Carried In Mouth'), ('Grey Heron', 'Shaking Head'), ('Mallard Duck', 'Attending'), ('Mallard Duck', 'Doing A Face Dip')]","['Frog', 'Mallard Duck', 'Grey Heron', 'Grey Heron', 'Mallard Duck', 'Mallard Duck']","['Amphibian', 'Bird']"
86,ABXWIZLK,train,90,"[('Water Rail Bird', 'Preening')]",['Water Rail Bird'],['Bird']
87,ABYRPKOU,train,"2,68,102,15","[('Yellowhammer', 'Keeping still'), ('Yellowhammer', 'Chirping'), ('Yellowhammer', 'Sensing'), ('Yellowhammer', 'Attending')]","['Yellowhammer', 'Yellowhammer', 'Yellowhammer', 'Yellowhammer']",['Bird']
88,ABZCCTLI,train,78,"[('House Cricket', 'Moving')]",['House Cricket'],['Insect']
89,ABZRXVEI,train,"48,102,2,67,133","[('Tringa Glareola Bird', 'Sensing'), ('Tringa Glareola Bird', 'Walking'), ('Tringa Glareola Bird', 'Flapping'), ('Tringa Glareola Bird', 'Attending')]","['Tringa Glareola Bird', 'Tringa Glareola Bird', 'Tringa Glareola Bird', 'Tringa Glareola Bird']",['Bird']
90,ACBAMGHA,train,"2,133,15","[('Nightingale Bird', 'Walking'), ('Nightingale Bird', 'Attending'), ('Nightingale Bird', 'Chirping')]","['Nightingale Bird', 'Nightingale Bird', 'Nightingale Bird']",['Bird']
91,ACBCHFYS,train,25,"[('Turtle', 'Digging')]",['Turtle'],['Reptile']
92,ACCDCQWI,train,2,"[('Garganey', 'Attending')]",['Garganey'],['Bird']
93,ACCPNSBA,train,"26,102,135,69,1","[('Bird', 'Displaying Defensive Pose'), ('Bird', 'Sensing'), ('Bird', 'Washing'), ('Bird', 'Attacking'), ('Bird', 'Landing')]","['Bird', 'Bird', 'Bird', 'Bird', 'Bird']",['Bird']
94,ACCYACJH,train,"40,7,78","[('Aphid', 'Being Eaten'), ('Aphid', 'Moving'), ('Ladybug', 'Eating')]","['Aphid', 'Aphid', 'Ladybug']",['Insect']
95,ACESDPTK,train,"22,2,68,15","[('Singing Nightingale', 'Keeping still'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Defecating')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
96,ACFBCJIR,train,102,"[('Alauda Arvensis Bird', 'Sensing')]",['Alauda Arvensis Bird'],['Bird']
97,ACFCJUPH,train,123,"[('Catfish', 'Swimming')]",['Catfish'],['Fish']
98,ACGRJOOZ,train,"68,138","[('Spider', 'Keeping still'), ('Spider', 'Wrapping Prey')]","['Spider', 'Spider']",['Insect']
99,ACHCJNPL,train,25,"[('Squirrel', 'Digging')]",['Squirrel'],['Mammal']
100,ACIOCKOU,train,"105,102,110,133,15,40,67,13","[('Yellowhammer Young', 'Sleeping in its nest'), ('Yellowhammer Young', 'Eating'), ('Yellowhammer', 'Jumping'), ('Yellowhammer Young', 'Jumping'), ('Yellowhammer', 'Sleeping in its nest'), ('Yellowhammer', 'Chirping'), ('Yellowhammer', 'Sensing'), ('Yellowhammer Young', 'Sensing'), ('Yellowhammer', 'Sharing Food'), ('Yellowhammer', 'Carrying In Mouth'), ('Yellowhammer', 'Walking')]","['Yellowhammer Young', 'Yellowhammer Young', 'Yellowhammer', 'Yellowhammer Young', 'Yellowhammer', 'Yellowhammer', 'Yellowhammer', 'Yellowhammer Young', 'Yellowhammer', 'Yellowhammer', 'Yellowhammer']",['Bird']
101,ACIOMPKK,train,38,"[('Black-Winged Stilt', 'Drinking')]",['Black-Winged Stilt'],['Bird']
102,ACJGHCDA,train,2,"[('Latrodectus Hersperus Western Widow Spider', 'Attending')]",['Latrodectus Hersperus Western Widow Spider'],['Insect']
103,ACMFAXMC,train,"80,102","[('Woodpecker', 'Sensing'), ('Woodpecker', 'Pecking')]","['Woodpecker', 'Woodpecker']",['Bird']
104,ACNCOKRF,train,68,"[('Dispholidus Typus Snake', 'Keeping still')]",['Dispholidus Typus Snake'],['Reptile']
105,ACNTCVEI,train,"104,48,49,2,103,133","[('Gallinago Gallinago Bird', 'Walking'), ('Duck', 'Attending'), ('Gallinago Gallinago Bird', 'Shaking'), ('Duck', 'Walking'), ('Duck', 'Shaking'), ('Gallinago Gallinago Bird', 'Flapping'), ('Gallinago Gallinago Bird', 'Flapping Tail'), ('Duck', 'Shaking Head'), ('Gallinago Gallinago Bird', 'Attending')]","['Gallinago Gallinago Bird', 'Duck', 'Gallinago Gallinago Bird', 'Duck', 'Duck', 'Gallinago Gallinago Bird', 'Gallinago Gallinago Bird', 'Duck', 'Gallinago Gallinago Bird']",['Bird']
106,ACPRKUJL,train,123,"[('Leopard Seal', 'Swimming')]",['Leopard Seal'],['Sea animal']
107,ACQEHFPE,train,68,"[('Walking Stick', 'Keeping still')]",['Walking Stick'],['Insect']
108,ACQFUVKA,train,"2,133,100","[('Common Quail', 'Attending'), ('Common Quail', 'Running'), ('Common Quail', 'Walking')]","['Common Quail', 'Common Quail', 'Common Quail']",['Bird']
109,ACQKWWWK,train,123,"[('Jellyfish', 'Swimming')]",['Jellyfish'],['Sea animal']
110,ACQNBEOD,train,"2,102,15","[('Common Snipe', 'Attending'), ('Common Snipe', 'Chirping'), ('Common Snipe', 'Sensing')]","['Common Snipe', 'Common Snipe', 'Common Snipe']",['Bird']
111,ACSJHYUQ,train,102,"[('Polyergus Mexicanus', 'Sensing')]",['Polyergus Mexicanus'],['Insect']
112,ACSJZTFT,train,"38,26,102,90,133,27","[('Flamingo', 'Walking'), ('Flamingo', 'Preening'), ('Flamingo', 'Disturbing Another Animal'), ('Flamingo', 'Drinking'), ('Flamingo', 'Displaying Defensive Pose'), ('Flamingo', 'Sensing')]","['Flamingo', 'Flamingo', 'Flamingo', 'Flamingo', 'Flamingo', 'Flamingo']",['Bird']
113,ACTCTBXG,train,"104,32","[('Common Crane', 'Shaking Head'), ('Common Crane', 'Doing A Face Dip')]","['Common Crane', 'Common Crane']",['Bird']
114,ACTNXSOM,train,"48,52,101","[('Common Goldeneye', 'Flapping'), ('Common Goldeneye', 'Flying'), ('Common Goldeneye', 'Running On Water')]","['Common Goldeneye', 'Common Goldeneye', 'Common Goldeneye']",['Bird']
115,ACTUPDUC,train,"40,7","[('Promecognathus Crassus Beetle', 'Eating'), ('Xystocheir Dissecta Millipede', 'Being Eaten')]","['Promecognathus Crassus Beetle', 'Xystocheir Dissecta Millipede']",['Insect']
116,ACUXTFPE,train,"1,78","[('Spider', 'Attacking'), ('Walking Stick', 'Moving')]","['Spider', 'Walking Stick']",['Insect']
117,ACWVRHDU,train,"13,67","[('Australian Bowerbird', 'Jumping')]",['Australian Bowerbird'],['Bird']
118,ACYHKFNJ,train,16,"[('Iguana', 'Climbing')]",['Iguana'],['Reptile']
119,ACYXOMME,train,68,"[('Common Crane', 'Keeping still')]",['Common Crane'],['Bird']
120,ACZHYBOE,train,"102,15","[('Nightingale Bird', 'Chirping'), ('Nightingale Bird', 'Sensing')]","['Nightingale Bird', 'Nightingale Bird']",['Bird']
121,ACZJMJIR,train,15,"[('Alauda Arvensis Bird', 'Chirping')]",['Alauda Arvensis Bird'],['Bird']
122,ADAACXGD,train,100,"[('Horse', 'Running')]",['Horse'],['Mammal']
123,ADAMJVEI,train,"40,102","[('Tringa Glareola Bird', 'Sensing'), ('Tringa Glareola Bird', 'Eating')]","['Tringa Glareola Bird', 'Tringa Glareola Bird']",['Bird']
124,ADBJMPIF,train,"40,51,123","[('Sardine', 'Fleeing'), ('Sea Lion', 'Eating'), ('Sea Lion', 'Swimming'), ('Sardine', 'Swimming')]","['Sardine', 'Sea Lion', 'Sea Lion', 'Sardine']","['Fish', 'Sea animal']"
125,ADBOPADX,train,"16,99,103,102","[('White-Backed Woodpecker', 'Sensing'), ('White-Backed Woodpecker', 'Climbing'), ('White-Backed Woodpecker', 'Shaking'), ('White-Backed Woodpecker', 'Rubbing its head')]","['White-Backed Woodpecker', 'White-Backed Woodpecker', 'White-Backed Woodpecker', 'White-Backed Woodpecker']",['Bird']
126,ADBULPLS,train,"104,52,102,90,2,69,114,68,40,133","[('Ardea Alba Egret', 'Keeping still'), ('Ardea Alba Egret', 'Spreading Wings'), ('Ardea Alba Egret', 'Attending'), ('Ardea Alba Egret', 'Walking'), ('Ardea Alba Egret', 'Landing'), ('Ardea Alba Egret', 'Preening'), ('Ardea Alba Egret', 'Flying'), ('Ardea Alba Egret', 'Eating'), ('Ardea Alba Egret', 'Shaking Head'), ('Ardea Alba Egret', 'Sensing')]","['Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret']",['Bird']
127,ADDNDVMP,train,"104,15","[('Bird', 'Chirping')]",['Bird'],['Bird']
128,ADDOKUJL,train,107,"[('Leopard Seal', 'Sinking')]",['Leopard Seal'],['Sea animal']
129,ADEXITFT,train,"38,102,26,90,47,133,27","[('Flamingo', 'Fighting'), ('Flamingo', 'Walking'), ('Flamingo', 'Preening'), ('Flamingo', 'Disturbing Another Animal'), ('Flamingo', 'Drinking'), ('Flamingo', 'Displaying Defensive Pose'), ('Flamingo', 'Sensing')]","['Flamingo', 'Flamingo', 'Flamingo', 'Flamingo', 'Flamingo', 'Flamingo', 'Flamingo']",['Bird']
130,ADFOXBQT,train,"68,100","[('Black Bearded Draco', 'Keeping still'), ('Black Bearded Draco', 'Running')]","['Black Bearded Draco', 'Black Bearded Draco']",['Reptile']
131,ADGACPTK,train,"104,68,102,15","[('Singing Nightingale', 'Keeping still'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Sensing'), ('Singing Nightingale', 'Shaking Head')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
132,ADGVZCPZ,train,2,"[('White Wig Marine Iguana', 'Attending')]",['White Wig Marine Iguana'],['Reptile']
133,ADIEJNQN,train,15,"[('Sedge Warbler Bird', 'Chirping')]",['Sedge Warbler Bird'],['Bird']
134,ADIGUTHG,train,"133,100","[('Bay''s Duiker', 'Walking'), ('Bay''s Duiker', 'Running')]","['[', '[']",['Reptile']
